Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2019-12-23,292.79827880859375,293.1902254958816,292.6524323585263,293.13553655427705,52990000
2019-12-24,292.807373046875,293.0716936318886,292.50655608135855,293.02612879098643,20270000
2019-12-26,294.3661193847656,294.37524348162793,293.18115512214473,293.19025140163853,30911200
2019-12-27,294.2930603027344,295.1498905317027,293.7643914337797,295.0952016079266,42528800
2019-12-30,292.6706237792969,294.511910689044,292.18751963133974,294.37518834855865,49729100
2019-12-31,293.3816223144531,293.62775035689424,291.82293192090606,292.16931374555315,57077300
2020-01-02,296.12530517578125,296.1435533670269,293.9923531023892,294.9129966046256,59151200
2020-01-03,293.8830261230469,295.00420520161396,292.6889377189637,292.7436266674431,77709700
2020-01-06,295.0041198730469,295.08615327203825,292.0143098616565,292.1328118215423,55653900
2020-01-07,294.1745910644531,294.9129193650481,293.72792775638845,294.43891159464124,40496400
2020-01-08,295.74237060546875,296.9546787175248,294.1198677888309,294.36596792116745,68296000
2020-01-09,297.7478942871094,297.8208314383512,296.71787261045756,297.3012585509011,48473300
2020-01-10,296.8910217285156,298.4861809242892,296.42616567870095,298.3312381801406,53029300
2020-01-13,298.93280029296875,298.9418965712198,297.0824170116794,297.5108322451486,47086800
2020-01-14,298.4770202636719,299.54348231822837,297.9209789989077,298.49524063629786,62832800
2020-01-15,299.15155029296875,299.90809914567166,298.30384393795646,298.38587734482564,72056600
2020-01-16,301.6400146484375,301.6400146484375,300.30008000636747,300.52795985830204,54050300
2020-01-17,302.578857421875,302.7884890679203,301.5761805798231,302.35097758583424,95846000
2020-01-21,301.986328125,302.78846954692693,301.5488166711206,301.6217259743135,77742400
2020-01-22,302.0228576660156,303.4904184768439,301.8679149339362,302.8432196250379,48914900
2020-01-23,302.369140625,302.77933537903976,300.2635335646252,301.3755880663374,51963000
2020-01-24,299.68023681640625,303.1075588185603,298.3949910655985,303.02552540689584,87578400
2020-01-27,294.8765869140625,296.3532441968251,294.11091379771784,294.44817159472285,84062500
2020-01-28,297.9666748046875,298.84172588882103,294.967767336487,296.2985782503069,63834000
2020-01-29,297.7204284667969,299.55259115613137,297.5198931086739,299.32471133178075,53888900
2020-01-30,298.68658447265625,298.89624388865093,294.9129097062482,295.6603342582397,75491800
2020-01-31,293.2630615234375,298.2217278467031,292.35154238779836,298.0667573540076,113845600
2020-02-03,295.441650390625,297.30115767312014,294.6212885304359,294.73979049796515,69083000
2020-02-04,299.9445495605469,300.81050405404096,298.7231169921296,299.04215432222543,62573200
2020-02-05,303.4082336425781,303.61789304939,301.4120324096972,302.8704407127794,65951100
2020-02-06,304.4292297363281,304.6206410029242,303.35361580732535,304.3654167083422,50359700
2020-02-07,302.806640625,304.438239701868,302.259723629564,303.37177798725406,64139400
2020-02-10,305.06732177734375,305.1311348147873,301.88612780958465,301.9225963763189,42070000
2020-02-11,305.5960693359375,307.20032491265226,305.0673723913546,306.41643141068727,54864500
2020-02-12,307.5648498535156,307.77448148627434,306.6624268441835,307.02702899526753,43992700
2020-02-13,307.23675537109375,308.202963799749,305.86947614367216,306.1429208622096,54501900
2020-02-14,307.72894287109375,307.8474448392001,306.4528213248784,307.64690946641167,64582200
2020-02-18,306.9359436035156,307.7927740817303,305.5504162851949,306.73540821888315,57226200
2020-02-19,308.4034423828125,309.07795777585227,307.61954912250815,307.90211788539574,48814700
2020-02-20,307.1365051269531,308.6769752996938,304.1558185736376,307.8565854998732,74163400
2020-02-21,303.973388671875,306.09721585970783,303.1529992571667,305.7873027148121,113788200
2020-02-24,293.89215087890625,304.046464384972,292.81653664920486,294.5484460794996,161088400
2020-02-25,284.98651123046875,295.8882745622072,284.1114604678439,295.27757219253857,218913200
2020-02-26,283.93829345703125,289.9634233462724,283.2090890630601,286.3811587759355,194773800
2020-02-27,271.1861267089844,283.9929622601153,271.1861267089844,278.43268874388383,284353500
2020-02-28,270.0466613769531,271.5324419822393,260.2751753707995,263.15557910658106,384975800
2020-03-02,281.74151611328125,281.80532914475464,268.40598340350584,271.8241810091955,238703600
2020-03-03,273.6745910644531,286.07126116142535,271.24084970802795,282.1152700822015,300139100
2020-03-04,285.17791748046875,285.3967010302959,276.4911395839047,279.0342862432625,176613400
2020-03-05,275.6981201171875,281.1763600202487,273.4649145191371,277.9951665598652,186366800
2020-03-06,271.1405334472656,272.3437456449538,264.5502664620457,267.2118873410211,228667200
2020-03-09,249.9660186767578,259.04474569545937,249.25503453343848,250.94132346367905,309417300
2020-03-10,262.9004821777344,262.9916118792991,249.3005981834413,259.4549393740364,276444100
2020-03-11,250.08444213867188,256.9937745724308,246.91237251975267,255.86349945004477,255316300
2020-03-12,226.1570587158203,243.06574485920348,225.7650981762707,233.34894558391483,392220700
2020-03-13,245.49038696289062,247.45927200830852,226.5307825549705,239.81161165387473,329566100
2020-03-16,218.62789916992188,234.1692913616769,216.35821121478764,219.84020754106757,297240000
2020-03-17,230.4320831298828,233.50391264622428,216.0938883539165,223.35868442017195,262070500
2020-03-18,218.7646484375,226.39406110097966,207.8446502974257,215.34645080566406,327597100
2020-03-19,219.22950744628906,225.49165465544974,211.6730183757266,218.08099810602204,289322000
2020-03-20,209.78201293945312,224.149511692918,209.50694631687315,222.37076338943308,347158800
2020-03-23,204.41822814941406,210.58882164978553,200.11806218300114,209.22268050674896,326025200
2020-03-24,222.93919372558594,223.81024024329707,214.3663807599711,214.93484144271505,235494500
2020-03-25,226.2766571044922,235.04203577073906,219.82183239457268,224.51625036542322,299430300
2020-03-26,239.4888916015625,240.95587614121874,228.34879937507776,228.77973377835932,257632800
2020-03-27,232.3555450439453,239.13128235143066,230.18254563117415,232.21801874837786,224341200
2020-03-30,239.9014892578125,240.61665407010992,232.45643301160396,234.44605962945386,171369500
2020-03-31,236.32566833496094,241.44184313996882,234.92284395447982,238.90209724302795,194881100
2020-04-01,225.68983459472656,236.24312431481496,223.62685616519354,227.36772539626958,189554600
2020-04-02,230.897705078125,231.67704405266247,224.2594942177443,224.80962736839078,177660400
2020-04-03,227.560302734375,232.2638985790031,224.83716977069236,229.9166755402143,135561200
2020-04-06,242.84469604492188,244.80683164702756,227.54198862018026,236.40821189273478,188061200
2020-04-07,243.09228515625,252.1693873137106,242.8722430130939,251.417539350002,201427200
2020-04-08,251.25250244140625,253.0587562775526,243.20230109645226,245.68703684697715,153774500
2020-04-09,255.0758056640625,257.82644327518784,252.57271536480266,254.50731705377976,189999200
2020-04-13,252.7469940185547,254.443226607134,248.85025633333169,254.1039856856062,114839100
2020-04-14,260.20123291015625,261.2189556921162,252.60947200950213,257.6248038351175,134143400
